pathogen_nm	pathogenType_nm	subtype	latin name	alt_latin_names	alt_common_names	ph_common_names	crops	taxonomy	notes	urls	biological_cure
Capsid bug	Insect		Miridae spp.				Cacao,Mango	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hemiptera,Suborder:Heteroptera,Superfamily:Miroidea,Family:Miridae			
Carabao Grass	Grass Weed		Paspalum conjugatum		Buffalo grass,Carabao grass,Sour paspalum		-				
Carrot bacterial gall	Bacteria		Rhizobacter dauci				Carrot				
Carrot bacteriosis	Bacteria		Xanthomonas campestris pv. carotae				Carrot				
Carrot blight	Fungus						Carrot				
Carrot canker	Fungus		Thanatephorus cucumeris,Rhizoctonia solani [anamorph]				Carrot				
Carrot latent	Virus		genus Nucleorhabdovirus, Carrot latent virus (CtLtV)				Carrot				
Carrot leaf blight	Fungus		Cercospora carotae				Carrot				
Carrot Leaf Blight Alternaria dauci 	Fungus		Alternaria dauci				Carrot	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria			
Carrot Leaf Blight Cercospora carotae	Fungus		Cercospora carotae				Carrot	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Cercospora			
Carrot Leaf Blight Xanthomonas campestris	Bacteria		Xanthomonas campestris				Carrot	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas			
Carrot mottle	Virus		genus Umbravirus, Carrot mottle virus (CMoV)				Carrot				
Carrot red leaf	Virus		genus Luteovirus, Carrot red leaf virus (CaRLV)				Carrot				
Carrot thin leaf	Virus		genus Potyvirus, Carrot thin leaf virus (CTLV)				Carrot				
Carrot yellow leaf	Virus		Carrot yellow leaf virus (CYLV)				Carrot				
Caseworm	Insect						Rice				
Cassava	Broadleaf Weed						Banana,Cacao,Citrus,Coffee,Cotton,Oil palm,Onion,Pineapple,Ramie,Rubber,Soyabeans,Tomato				
Caterpillars	Insect						Banana,Banana (Cavendish),Broccoli,Cabbage,Cauliflower,Mustard,Pechay				
Cavity spot	Fungus		Pythium spp.,Pythium violae,Rhizoctonia spp.,Rhizoctonia solani				Carrot				
Cecid fly	Insect						Mango				
Celery blight	Fungus		Cercospora apii i								
Celery mosaic	Virus		genus Potyvirus, Celery mosaic virus (CeMV)				Carrot				
Centro	Broadleaf Weed		Centrosema pubescens				-		Centrosema pubescens can be intercropped with grasses, thus increasing the protein of the cattle diet. [7] The leaves can also be used as a cheap source of protein for broiler chickens. It is a good source of calcium and potassium for animals.		
Ceratocystis rot	Fungus						Pineapple				
Cercospora leaf blight	Fungus						Asparagus,Carrot,Tomato				
Cercospora leaf mold	Fungus						Crowfoot grass,East Indian crabgrass,Carabao Grass,Purple cleome,Chinese violet,E. sonchifolia,H. corymbosa,C. mucunoides,M. invisa,M. pudica				
Cercospora leaf spot	Fungus				Brown eye spot		Avocado,Beans,Bittergourd,Cabbage,Carrot,Cauliflower,Chili pepper,Chinese cabbage,Corn,Cruciferae,Cucumber,Cucurbits,Eggplant,Ginger,Legumes,Lettuce,Melon,Mungbeans,Okra,Peanut,Pepper,Rice,Squash,Strawberry,Stringbeans,Watermelon	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Cercospora			
Chinese violet	Broadleaf Weed		Asystasia gangetica				-				
Cinderella weed	Fungus						Corn				
Citrus Alternaria Brown Spot	Fungus		Alternaria alternata 				Citrus	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria			
Citrus black rot	Fungus		Alternaria citri				Citrus	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria			
Citrus black spot	Fungus		Phyllosticta citricarpa				Citrus	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Botryosphaeriales,Family:Botryosphaeriaceae,Genus:Phyllosticta			
Citrus brown rot	Fungus						Citrus				
Citrus brown spot	Fungus		Alternaria alternata				Citrus				
Citrus Canker	Bacteria		Xanthomonas axonopodis		Citrus bacterial spot		Citrus	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas			
Citrus Melanose	Fungus		Diaporthe citri				Citrus	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Diaporthales,Family:Diaporthaceae,Genus:Diaporthe			
Citrus rind borer	Insect	Moth	Prays endocarpa		Citrus pock caterpillar		Citrus,Pomelo	Domain:Eukaryota,Kingdom:Metazoa,Phylum:Arthropoda,Subphylum:Uniramia,Class:Insecta,Order:Lepidoptera,Family:Yponomeutidae,Genus:Prays,			
Citrus scab	Fungus		Elsinoe fawcettii				Citrus	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Myriangiales,Family:Elsinoaceae,Genus:Elsinoë			
Clubroot	Fungus						Cabbage				
Coconut nut rot 	Fungus						Coconut				
Coffee berry borer	Insect		Hypothenemus hampei				Coffee	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Family:Curculionidae,Genus:Hypothenemus			
Coffee berry disease	Fungus		Colletotrichum kahawae				Coffee				
Coffee rust	Fungus						Coffee				
Cogon grass	Fungus						Banana,Cacao,Citrus,Coconut,Coffee,Corn,Mango,Non-crop areas,Oil palm,Rubber,Sugarcane,Vegetables				
Confused flour beetle	Insect						Rice				
Colletotrichum nymphaeae	Fungus		Colletotrichum nymphaeae				Citrus ,Pepper,Cherry,Peach,Guava,Malus spp,Juglans regia,Khaya spp.				
Corm rot	Fungus						Banana				
Corm weevil	Insect						Banana				
Corn bacterial leaf blight 	Bacteria		Pseudomonas avenae				Corn	Kingdom:Bacteria,Subkingdom:Negibacteria,Phylum:Proteobacteria,Class:Betaproteobacteria,Order:Burkholderiales,Family:Comamonadaceae,Genus:Acidovorax			
Corn blight	Fungus		Bipolaris maydis								
Corn borer	Insect						Corn,Sorghum				
Corn brown spot	Fungus		Physoderma maydis				Corn	Domain:Eukaryota,Kingdom:Fungi,Division:Blastocladiomycota,Class:Physodermatomycetes,Order:Physodermatales,Family:Physodermataceae,Genus:Physoderma			
Corn earworm	Insect				Tomato earworm		Corn,Mungbeans,Soyabeans				
Corn eyespot	Fungus						Corn				
Corn rust	Fungus						Corn				
Corn seedling	Fungus						Corn				
Corn weevil	Insect						Corn				
Cotton bollworm	Insect						Cotton				
Cotton leafworm	Insect	Moth	Spodoptera litura		tobacco cutworm		Cotton				
Cotton stainer bug	Insect						Cotton				
Cottony rot	Fungus		Sclerotinia minor,Sclerotinia sclerotiorum				Carrot				
Crabgrass	Grass Weed		Digitaria sanguinalis		Hairy crabgrass,Hairy finger-grass,Large crabgrass,Crab finger grass,Purple crabgrass		Banana,Cacao,Citrus,Coffee,Cotton,Oil palm,Onion,Pineapple,Ramie,Rubber,Soyabeans,Tomato				
Crater rot	Fungus		Athelia arachnoidea (anamorph = Fibulorhizoctonia carotae)				Carrot				
Crickets	Insect						Corn				
Crowfoot grass	Grass Weed						Banana,Cacao,Citrus,Coffee,Cotton,Oil palm,Onion,Pineapple,Ramie,Rubber,Soyabeans,Tomato				
Crown and spear rot	Fungus						Asparagus				
Crown gall	Bacteria		Agrobacterium tumefaciens				Carrot				
Crown rot disorder	Physiological		No associated pathogen				Carrot				
Crown rot: Asparagus	Fungus		Fusarium oxysporum,Fusarium.asparagi,Fusarium proliferatum,Fusarium moniliforme				Asparagus				
Crown rot: Carrot	Fungus		Rhizoctonia spp.,Rhizoctonia solani				Carrot		same as damping off		
Cucumber blight	Fungus		Alternaria cucumerina								
Cucumber Gummy stem blight	Fungus		Didymella bryoniae				Cucumber	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Didymellaceae,Genus:Didymella			
Cucumber mosaic	Virus		genus Cucumovirus, Cucumber mosaic virus (CMV)				Carrot				
Cucurbit Alternaria Leaf Blight	Fungus		Alternaria cucumerina				Cucurbit:watermelon,cantaloupe,cucumber,zucchini,pumpkin,squash	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria			
Cucurbit beetle	Insect	beetle	Aulacophora indica		pumkin beetls		Cucurbits	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Suborder:Polyphaga,Infraorder:Cucujiformia,Family:Chrysomelidae,Subfamily:Galerucinae,Tribe:Luperini,Subtribe:Aulacophorina,Genus:Aulacophora		http://www.plantdoctor.eastwestseed.com/insect-pests/cucurbit-beetle-0,https://www.inaturalist.org/taxa/342313-Aulacophora-indica	
Cucurbits Anthracnose	Fungus		Colletotrichum orbiculare	Colletotrichum lagenarium			Cucurbits	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Subphylum:Pezizomycotina,Class:Sordariomycetes,Subclass:Sordariomycetidae,Order:Incertae sedis,Genus:Glomerellaceae	Use disease-tolerant varieties like Charleston Gray		
Curly top	Virus		genus Hybrigeminivirus, Beet curly top virus (BCTV)				Carrot				
Cutworm	Insect						Ampalaya,Asparagus,Beans,Bittergourd,Cabbage,Cauliflower,Citrus,Corn,Cotton,Cowpea,Cruciferae,Eggplant,Garlic,Grapes,Legumes,Melon,Mongo beans,Mungbeans,Mustard,Okra,Onion,Ornamentals,Pechay,Pepper,Potato,Rice,Sorghum,Soyabeans,Stringbeans,Tobacco,Tomato,Watermelon,White potato				
Cyperaceous weeds	Grass Weed						Corn,Rice,Sugarcane				
Cyperus	Fungus						Rice				
Cyst nematode	Nematode		Heterodera carotae				Carrot				
Dagger nematode	Nematode		Xiphinema				Carrot				
Damping off	Fungus		Fusarium spp.,Pythium spp.,Rhizoctonia solani				Carrot				
Damping-off	Fungus		Pythium	Phytophthora, Rhizoctonia			Bittergourd,Celery,Corn,Okra,Onion,Papaya,Stringbeans,Sweet pepper,Tomato,Watermelon		most common in cool, wet conditions, and can be especially damaging in spring		
Diamond fruit spot	Fungus						Banana,Banana (Cavendish)				
Diamondback moth	Insect	moth	Plutella xylostella		Cabbage moth		Broccoli,Cabbage,Cauliflower,Chinese cabbage,Cruciferae,Melon,Mustard,Pechay			http://www.plantdoctor.eastwestseed.com/insect-pests/diamondback-moth 	
Dieback of carrots	Fungus		Pythium spp.,Pythium debaryanum,				Carrot	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Plutellidae,Genus:Plutella			
Diplodia ear rot	Fungus		Stenocarpella maydis	Stenocarpella macrospora			Corn				
Diplodia leaf spot	Fungus						Oil palm				
Diplodia stem end rot	Fungus		Lasiodiplodia theobromae		Stem end rot		Mango				
Dirty panicle	Fungus						Rice				
Downy mildew	Fungus		Peronosporaceae				Beans,Bittergourd,BrassicasBroccoli,Cabbage,Cantaloupe,Carrot,Cauliflower,Citrus,Corn,Cotton,Cucumber,Cucurbits,Eggplant,Garlic,Grapes,Leeks,Lettuce,Melon,Mungbeans,Okra,Onion,Ornamentals,Peas,Pepper,Potato,Shallots,Squash,Stringbeans,Tomato,Watermelon		Caused by several oomycetes of the  Peronosporaceae family		
Ear rot	Fungus						Asparagus,Corn,Mango				
Early blight	Fungus		Alternaria solani 				Celery,Cucumber,Cucurbits,Eggplant,Lettuce,Melon,Pepper,Potato,Squash,Tomato,Watermelon	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae	Alternaria		
Earthworm	Insect						Corn				
Earworm	Insect						Corn,Mungbeans,Sorghum,Soyabeans,Sugarcane				
East Indian crabgrass	Grass Weed		Digitaria setigera				-				
Echinochloa spp.	Grass Weed						Rice				
Eggplant blight	Fungus		Phytophthora capsici	Phytophthora nicotianae	Squash blight					https://ipm.ucanr.edu/agriculture/onion-and-garlic/botrytis-leafspot/#gsc.tab=0	
Eggplant fruit & shoot borer	Insect	Moth	Leucinodes orbonalis				Eggplant	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Crambidae,Genus:Leucinodes			
Egyptian cotton leafworm	Insect						Cotton				
Eutypa dieback	Fungus						Grapes				
Fall Armyworm	Insect	Moth	Spodoptera frugiperda				Onions,Corn,Rice,Sorghum,Sugarcane,Cotton,Vegetables	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Superfamily:Noctuoidea,Family:Noctuidae,Genus:Spodoptera			
Fern grass	Grass Weed						Banana,Cacao,Citrus,Coconut,Coffee,Corn,Mango,Non-crop areas,Oil palm,Rubber,Sugarcane,Vegetables				
Field bindweed	Broadleaf Weed						Corn				
Field crickets	Insect						Corn				
Field rats	Rodent						Corn,Rice,Sugarcane				
Fimbry Sedge	Grass Weed						Rice				
Finger rot	Fungus						Banana,Banana (Cavendish)				
Fireweed	Broadleaf Weed		Crassocephalum crepidioides		Ebolo,Thickhead,Redflower ragleaf		-		Asteraceae 		
Flea beetle	Insect						Beans,Cabbage,Cucurbits,Eggplant,Legumes,Mango,Mungbeans,Sitao,Soyabeans,Stringbeans,Tobacco				
Flies	Insect						-	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Superorder:Panorpida,(unranked):Antliophora,Order:Diptera			
Flower weevil	Insect						Cotton				
Forking, brown root	Fungus		Pythium spp.,Pythium irregulare,Pythium paroecandrum,Pythium sylvaticum,				Carrot				
Frogeye leaf spot	Fungus						Tobacco				
Fruit and shoot borer	Insect						Eggplant				
Fruit borer	Insect						Eggplant,Onion				
Fruit fly	Insect		Drosophilidae				Bittergourd,Mango				
Fruit rot	Fungus						Banana,Banana (Cavendish),Beans,Bell pepper,Bittergourd,Cantaloupe,Chili pepper,Citrus,Coffee,Cucumber,Cucurbits,Eggplant,Grapes,Legumes,Mango,Melon,Mungbeans,Oil palm,Onion,Ornamentals,Papaya,Peas,Pepper,Pineapple,Rice,Snap Beans,Squash,Stringbeans,Sweet pepper,Tobacco,Tomato,Watermelon				
Fruit spot	Fungus						Banana,Banana (Cavendish),Cucumber,Cucurbits,Melon,Squash,Watermelon				
Fruitlet core rot	Fungus		Penicillium funiculosum,Penecillium funicolsum	Candida guilliermondi	Green eye		Pineapple	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Eurotiomycetes,Order:Eurotiales,Family:Aspergillaceae,Genus:Penicillium			
Fruitworm	Insect						Eggplant,Onion,Pepper,Tomato,Watermelon				
Fungal pests	Fungus						-				
Fusariosis	Fungus		Fusarium guttiforme				Pineapple				
Fusarium	Fungus						Asparagus,Banana,Banana (Cavendish),Beans,Cucumber,Cucurbits,Legumes,Melon,Pineapple,Squash,Tobacco,Tomato,Watermelon				
Fusarium Basal Rot	Fungus		Fusarium oxysporum,Fusarium. proliferatum				Onion,Garlic	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Clade_2:Sordariomycetes,Phylum:Hypocreales,Subphylum:Nectriaceae,Class:Fusarium,	Same agent as Panama disease in Banana, their predominant role in native soils may be as harmless or even beneficial plant endophytes or soil saprophytes, many strains within the F. oxysporum complex are soil borne pathogens of plants		
Fusarium dry rot	Fungus		Fusarium sp.				Carrot				
Fusarium fruit rot	Fungus						Cucumber,Cucurbits,Melon,Squash,Watermelon				
Fusarium pallidoroseum	Fungus						Banana (Cavendish)				
Fusarium solani	Fungus						Banana (Cavendish)				
Fusarium spp.	Fungus						Pineapple				
Fusarium wilt	Fungus		Fusarium oxysporum				Asparagus,Banana,Banana (Cavendish),Beans,Legumes,Tomato,Watermelon	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Hypocreales,Family:Nectriaceae,Genus:Fusarium,Species:F. oxysporum			
Garlic,Onion blight	Fungus		Botrytis squamosa 								
Giant african snail	Mollusc						Potted plants				
Giant hygro	Broadleaf Weed		Hygrophila corymbosa		Temple plant,Starhorn		-				
Giant sensitive plant	Broadleaf Weed		Mimosa diplotricha Sauvalle		Creeping sensitive plant,Giant false sensitive plant,Nila grass,Spiny mimosa		-	Domain:Eukaryota,Kingdom:Plantae,Phylum:Spermatophyta,Subphylum:Angiospermae,Class:Dicotyledonae,Order:Fabales,Family:Fabaceae,SubFamily:Mimosoideae,Genus:Mimosa			
Golden apple snail	Mollusc						Rice				
Gold-fringed rice borer	Insect	Moth	Chilo auricilius				Rice		yield loss of about 30%	http://www.knowledgebank.irri.org/images/docs/managing-rice-stem-borer	
Goosegrass	Grass Weed		Eleusine indica Cyperales				Banana,Cacao,Citrus,Coffee,Cotton,Oil palm,Onion,Pineapple,Ramie,Rubber,Soyabeans,Tomato				
Gooseweed	Broadleaf Weed		Sphenoclea zeylanica		Chickenspike,Wedgewort		Rice				
Grain moth	Insect						-				
Grain weevil	Insect						-				
Grass Weeds	Grass Weed						-				
Grasses	Grass Weed						Banana,Banana (Cavendish),Cacao,Cassava,Citrus,Coconut,Coffee,Corn,Cotton,Grass,Lawns,Mango,Non-crop areas,Oil palm,Okra,Onion,Pineapple,Potato,Ramie,Rice,Rubber,Sorghum,Soyabeans,Sugarcane,Tobacco,Tomato,Turf grass,Vegetables	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Clade:Graminid clade,Family:Poaceae			
Grasshoppers	Insect						Corn,Cotton,Cowpea,Soyabeans,Tobacco				
Gray leaf spot	Fungus						Corn				
Gray mold rot	Fungus		Botryotinia fuckeliana,Botrytis cinerea [anamorph],				Carrot				
Greasy spot	Fungus		Mycosphaerella citri.				Citrus	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Mycosphaerella			
Green leafhopper	Insect						Eggplant,Rice,Stringbeans,Watermelon				
Grey leaf spot	Fungus						Corn				
Grey mold	Fungus		Botrytis cinerea				Beans,Legumes,Strawberry	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis			
Grubs	Insect						Corn,Cotton,Cowpea,Legumes,Ornamentals,Soyabeans,Sugarcane,White potato				
Gummy stem blight	Fungus						Cucumber,Melon				
Gummy stem blight,Black rot	Fungus		Gummy stem blight		Melon blight		Muskmelon,Watermelon			https://www.vegetables.bayer.com/ca/en-ca/resources/agronomic-spotlights/gummy-stem-blight-of-watermelon.html#:~:text=PATHOGENS%20AND%20DISEASE%20CYCLE,cucurbitacearum%2C%20and%20S.	
Hairy beggarticks	Broadleaf Weed						Corn				
Hairy root	Bacteria		Agrobacterium rhizogenes				Carrot				
Hard rot	Fungus		Fusarium sp.,Gliocladium roseum,				Carrot				
Headworm	Insect						Sorghum				
Heart rot	Fungus						Pineapple				
Heat canker	Physiological		High soil surface temperature				Carrot				
Helicotylenchus nematode	Fungus						-				
Helminthosporium leaf spot	Fungus						Banana,Carrot,Corn,Corn (sweet and popcorn),Rice				
Hollow black heart	Physiological		Boron deficiency				Carrot				
Hoorahgrass	Fungus		Fimbristylis miliacea		Grasslike fimbry		Rice				
Hoppers	Insect						Banana,Bittergourd,Corn,Cotton,Cowpea,Eggplant,Grapes,Mango,Mungbeans,Okra,Potato,Rice,Soyabeans,Stringbeans,Sugarcane,Tobacco,Tomato,White potato				
Hornworm	Insect						Tobacco				
Indian-meal moth	Insect						-				
Insect pests	Insect						Banana				
Itchgrass	Fungus		Rottboellia cochinchinensis,Rottboellia exaltata		Rottboellia exaltata,Raoul grass,Corngrass,Kokoma grass,Guinea-fowl grass,Jointed grass,Shamwa grass,Kelly grass		Banana,Cacao,Citrus,Coffee,Corn,Cotton,Oil palm,Onion,Pineapple,Ramie,Rubber,Soyabeans,Tomato				
Jungle rice	Fungus						Banana,Cacao,Citrus,Coffee,Cotton,Oil palm,Onion,Pineapple,Ramie,Rice,Rubber,Soyabeans,Tomato				
Katydid	Insect						Cotton,Tobacco				
Khapra beetle	Insect						-				
Ladybird beetle	Insect						Cucurbits,Eggplant,Rice,Tomato				
Lance nematode	Nematode		Hoplolaimus uniformis				Carrot				
Late blight	Fungus		Phytophthora infestans				Cabbage,Carrot,Celery,Cruciferae,Cucumber,Cucurbits,Eggplant,Lettuce,Melon,Okra,Pepper,Potato,Solanaceae ,Squash,Tobacco,Tomato,Watermelon				
Lateral root dieback	Fungus		Pythium spp.				Carrot				
Leaf beetle	Insect						Watermelon				
Leaf blight	Fungus						Asparagus,Beans,Carrot,Celery,Corn,Cutflower,Garlic,Leeks,Legumes,Melon,Onion,Shallots,Tomato				
Leaf miner	Insect						Beans,Cowpea,Okra,Soyabeans				
Leaf mold	Fungus						Okra,Tobacco,Tomato				
Leaf roller	Insect						Banana				
Leaf rot	Fungus		Typhula variabilis				Carrot				
Leaf rust	Fungus						Coffee,Corn,Soyabeans				
Leaf speckle	Fungus						Banana				
Leaf spot	Fungus		several				Avocado,Banana,Beans,Bittergourd,Broccoli,Cabbage,Carrot,Cauliflower,Celery,Chili pepper,Chinese cabbage,Corn,Corn (Sweet and Popcorn),Cotton,Cruciferae,Cucumber,Cucurbits,Eggplant,Ginger,Legumes,Lettuce,Melon,Mungbeans,Oil palm,Okra,Peanut,Pepper,Pineapple,Rice,Roses,Squash,Strawberry,Stringbeans,Tobacco,Tomato,Watermelon				
Leaffolder	Insect						Banana,Beans,Melon,Mungbeans,Mungo,Rice,Sitao,Soybeans,White potato				
Leafhoppers	Insect		Cicadellidae sp.				Banana,Bittergourd,Corn,Cotton,Eggplant,Grapes,Mungbeans,Okra,Potato,Rice,Stringbeans,Sugarcane,Tomato,White potato	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hemiptera,Suborder:Auchenorrhyncha,Superfamily:Membracoidea,Family:Cicadellidae			
Leafminer	Insect						Beans,Chrysanthemum,Cowpea,Eggplant,Legumes,Mongo beans,Mungbeans,Onion,peas,Potato,Sitao,Soyabeans,Stringbeans,Sweet potato,Tomato,Watermelon,White potato				
Leafroller	Insect						Ampalaya,Banana,Beans,Rice,Watermelon				
Lesion nematode	Nematode		Pratylenchus penetrans,Pratylenchus spp.				Carrot				
Lesser grain borer	Insect		Rhyzopertha dominica				Stored grain				
